district;reg;enrolperc;urbperc;waterperc;roomperc;lightperc;sewperc;cookperc;atersorceperc;employperc;seclevperc;firstlevperc;werworkperc;fororgperc;adminperc;libcontributperc;unemployment
AL Batnan;Cyrenaica;35,54;11,78;13,91;13,91;13,91;13,91;13,91;13,91;33,36;7,67;13,32;2,74;0;8,75;0,11;20
Al Gabal Al Gharbi;Tripolitania;34,15;11,03;17,08;17,08;17,08;17,08;17,08;17,08;36,2;14,26;23,99;3,67;0;12,19;0,31;25
AL Gebel EL Akhdar;Cyrenaica;36,97;12,43;14,82;14,82;14,82;14,82;14,82;14,82;36,49;10,51;17,76;4,34;0;12,16;0,17;13
AL joufra;Fezzan;33,85;15,24;17,16;17,16;17,16;17,16;17,16;17,16;42,92;2,46;3,99;0,67;0;3,56;0,05;15
AL Kufra;Cyrenaica;40,6;12,76;14,95;14,95;14,95;14,95;14,95;14,95;31,13;2,98;4,29;0,78;0,01;2,38;0,05;5
AL Margheb;Tripolitania;35,19;14,23;16,76;16,76;16,76;16,76;16,76;16,76;31,68;20,4;34,48;4,49;0;15,98;0,28;20
AL Marj;Cyrenaica;37,74;9,47;13,6;13,6;13,6;13,6;13,6;13,6;33,41;9,72;16,19;3,43;0;8,87;0,07;34
AL Wahat;Cyrenaica;37,55;11,64;13,9;13,9;13,9;13,9;13,9;13,9;33,14;9,63;15,35;2,71;0;6,38;0,24;20
Benghazi;Cyrenaica;36,33;16,27;17,11;17,11;17,11;17,11;17,11;17,11;32,62;33,19;54,29;13,81;0,03;21,06;1,28;10
Derna;Cyrenaica;36,72;13,12;16,45;16,45;16,45;16,45;16,45;16,45;36,43;8,52;14,63;3,1;0;11,6;0,11;10
Ghat;Fezzan;37,95;15,74;15,74;15,74;15,74;15,74;15,74;15,74;38,53;1,38;1,95;0,47;0;1,8;0,01;29
Jafara;Tripolitania;33,12;16,45;17,43;17,43;17,43;17,43;17,43;17,43;38,74;19,21;34,62;7,36;0,05;16,44;0,73;20
Misurata;Tripolitania;36,39;14,96;16,45;16,45;16,45;16,45;16,45;16,45;29;28,12;48,59;8,85;0;14,26;0,55;19
Mursuk;Fezzan;38,28;12,78;15,98;15,98;15,98;15,98;15,98;15,98;39,5;4,05;6,39;1,14;0;4,47;0,04;19
Nalut;Tripolitania;34,22;12,39;17,03;17,03;17,03;17,03;17,03;17,03;40,82;4,53;7,03;1,76;0;5,84;0,08;15
Nikhat Al Khams;Tripolitania;32,39;17,2;18,9;18,9;18,9;18,9;18,9;18,9;41,42;11,64;21,88;5;0;15,08;0,15;15
Sebha;Fezzan;38,29;15,68;16,61;16,61;16,61;16,61;16,61;16,61;36,13;7,07;11,29;1,73;0,01;5,4;0,1;20
Sirt;Tripolitania;38,95;9,96;13,24;13,24;13,24;13,24;13,24;13,24;31,05;7,8;12,17;1,68;0;4,8;0,29;20
Tripoli;Tripolitania;32,47;17,79;17,79;17,79;17,79;17,79;17,79;17,79;36,99;44,2;75,12;21,49;0,42;39,6;2,52;15
Wadi AL Haya;Fezzan;38,03;12,2;16,33;16,33;16,33;16,33;16,33;16,33;38,64;4,12;5,98;0,9;0;4,34;0,03;19
Wadi AL Shati;Fezzan;34,59;8,8;16,37;16,37;16,37;16,37;16,37;16,37;42,53;3,82;6,35;0,74;0;4,73;0,03;15
Zawia;Tripolitania;33,89;17,19;18,22;18,22;18,22;18,22;18,22;18,22;39,57;12,43;22,74;5,12;0,01;10,84;0,18;15
